s,x,y,z
0.000000000000000000e+00,1.373737373737373701e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+00,2.747474747474747403e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+00,4.121212121212121104e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.121212121212121104e+00,5.494949494949494806e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.494949494949494806e+00,6.868686868686868507e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.868686868686868507e+00,8.242424242424242209e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.242424242424242209e+00,9.616161616161615910e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.616161616161615910e+00,1.098989898989898961e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.098989898989898961e+01,1.236363636363636331e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.236363636363636331e+01,1.373737373737373701e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+01,1.511111111111111072e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.511111111111111072e+01,1.648484848484848442e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.648484848484848442e+01,1.785858585858585812e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.785858585858585812e+01,1.923232323232323182e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.923232323232323182e+01,2.060606060606060552e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.060606060606060552e+01,2.197979797979797922e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.197979797979797922e+01,2.335353535353535293e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.335353535353535293e+01,2.472727272727272663e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.472727272727272663e+01,2.610101010101010033e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.610101010101010033e+01,2.747474747474747403e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+01,2.884848484848484773e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.884848484848484773e+01,3.022222222222222143e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.022222222222222143e+01,3.159595959595959513e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.159595959595959513e+01,3.296969696969696884e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.296969696969696884e+01,3.434343434343433898e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.434343434343434609e+01,3.571717171717171624e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.571717171717172334e+01,3.709090909090909349e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.709090909090909349e+01,3.846464646464646364e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.846464646464646364e+01,3.983838383838383379e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.983838383838384090e+01,4.121212121212121104e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.121212121212121815e+01,4.258585858585858830e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.258585858585858830e+01,4.395959595959595845e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.395959595959595845e+01,4.533333333333332860e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.533333333333333570e+01,4.670707070707070585e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.670707070707071296e+01,4.808080808080808310e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.808080808080808310e+01,4.945454545454545325e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.945454545454545325e+01,5.082828282828282340e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.082828282828283051e+01,5.220202020202020066e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.220202020202020776e+01,5.357575757575757791e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.357575757575757791e+01,5.494949494949494806e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.494949494949494806e+01,5.632323232323231821e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.632323232323232531e+01,5.769696969696969546e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.769696969696970257e+01,5.907070707070707272e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.907070707070707272e+01,6.044444444444444287e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.044444444444444287e+01,6.181818181818181301e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.181818181818182012e+01,6.319191919191919027e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.319191919191919737e+01,6.456565656565656752e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.456565656565656752e+01,6.593939393939393767e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.593939393939393767e+01,6.731313131313130782e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.731313131313130782e+01,6.868686868686867797e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.868686868686869218e+01,7.006060606060606233e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.006060606060606233e+01,7.143434343434343248e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.143434343434343248e+01,7.280808080808080263e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.280808080808081684e+01,7.418181818181818699e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.418181818181818699e+01,7.555555555555555713e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.555555555555555713e+01,7.692929292929292728e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.692929292929292728e+01,7.830303030303029743e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.830303030303029743e+01,7.967676767676766758e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.967676767676768179e+01,8.105050505050505194e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.105050505050505194e+01,8.242424242424242209e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.242424242424242209e+01,8.379797979797979224e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.379797979797980645e+01,8.517171717171717660e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.517171717171717660e+01,8.654545454545454675e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.654545454545454675e+01,8.791919191919191690e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.791919191919191690e+01,8.929292929292928704e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.929292929292928704e+01,9.066666666666665719e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.066666666666667140e+01,9.204040404040404155e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.204040404040404155e+01,9.341414141414141170e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.341414141414141170e+01,9.478787878787878185e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.478787878787879606e+01,9.616161616161616621e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.616161616161616621e+01,9.753535353535353636e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.753535353535353636e+01,9.890909090909090651e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.890909090909090651e+01,1.002828282828282767e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.002828282828282767e+02,1.016565656565656468e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.016565656565656610e+02,1.030303030303030312e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.030303030303030312e+02,1.044040404040404013e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.044040404040404013e+02,1.057777777777777715e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.057777777777777857e+02,1.071515151515151558e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.071515151515151558e+02,1.085252525252525260e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.085252525252525260e+02,1.098989898989898961e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.098989898989898961e+02,1.112727272727272663e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.112727272727272663e+02,1.126464646464646364e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.126464646464646506e+02,1.140202020202020208e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.140202020202020208e+02,1.153939393939393909e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.153939393939393909e+02,1.167676767676767611e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.167676767676767753e+02,1.181414141414141454e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.181414141414141454e+02,1.195151515151515156e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.195151515151515156e+02,1.208888888888888857e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.208888888888888857e+02,1.222626262626262559e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.222626262626262559e+02,1.236363636363636260e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.236363636363636402e+02,1.250101010101010104e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.250101010101010104e+02,1.263838383838383805e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.263838383838383805e+02,1.277575757575757507e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.277575757575757649e+02,1.291313131313131350e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.291313131313131066e+02,1.305050505050504910e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.305050505050504910e+02,1.318787878787878753e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.318787878787878753e+02,1.332525252525252597e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.332525252525252313e+02,1.346262626262626156e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.346262626262626156e+02,1.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.356099523840207155e+02,1.369835659384401083e+02,1.560718612126166249e-02,0.000000000000000000e+00
1.365936421417787869e+02,1.379661415093534913e+02,6.241302937158366149e-02,0.000000000000000000e+00
1.375773318995368868e+02,1.389467373424296568e+02,1.403704002343779678e-01,0.000000000000000000e+00
1.385610216572949867e+02,1.399243660607862410e+02,2.494008022453435558e-01,0.000000000000000000e+00
1.395447114150530581e+02,1.408980432751738476e+02,3.893944510317766117e-01,0.000000000000000000e+00
1.405284011728111295e+02,1.418667885751727056e+02,5.602103848560915367e-01,0.000000000000000000e+00
1.415120909305692578e+02,1.428296265163827741e+02,7.616766065523812301e-01,0.000000000000000000e+00
1.424957806883273292e+02,1.437855876026134467e+02,9.935902567129559770e-01,0.000000000000000000e+00
1.434794704460854291e+02,1.447337092620843180e+02,1.255717817950582571e+00,0.000000000000000000e+00
1.444631602038435290e+02,1.456730368166531093e+02,1.547795350030693129e+00,0.000000000000000000e+00
1.454468499616016004e+02,1.466026244430957206e+02,1.869528755636842732e+00,0.000000000000000000e+00
1.464305397193597003e+02,1.475215361254701634e+02,2.220594076501750891e+00,0.000000000000000000e+00
1.474142294771178001e+02,1.484288465976050304e+02,2.600637819605843504e+00,0.000000000000000000e+00
1.483979192348759000e+02,1.493236422747643246e+02,3.009277313114743890e+00,0.000000000000000000e+00
1.493816089926339998e+02,1.502050221735497360e+02,3.446101091697371999e+00,0.000000000000000000e+00
1.503652987503920713e+02,1.510720988191145295e+02,3.910669310836667023e+00,0.000000000000000000e+00
1.513489885081501711e+02,1.519239991387755992e+02,4.402514189715713400e+00,0.000000000000000000e+00
1.523326782659082710e+02,1.527598653411235432e+02,4.921140482233386848e+00,0.000000000000000000e+00
1.533163680236663424e+02,1.535788557797458793e+02,5.466025975675183446e+00,0.000000000000000000e+00
1.543000577814244707e+02,1.543801458006938674e+02,6.036622016537187108e+00,0.000000000000000000e+00
1.552837475391825421e+02,1.551629285728387515e+02,6.632354062973586650e+00,0.000000000000000000e+00
1.562674372969406420e+02,1.559264159002827341e+02,7.252622263311682360e+00,0.000000000000000000e+00
1.572511270546987134e+02,1.566698390160050280e+02,7.896802060051605565e+00,0.000000000000000000e+00
1.582348168124568133e+02,1.573924493559454731e+02,8.564244818742828613e+00,0.000000000000000000e+00
1.592185065702149132e+02,1.580935193127447462e+02,9.254278481104044829e+00,0.000000000000000000e+00
1.602021963279730130e+02,1.587723429683835263e+02,9.966208241728907069e+00,0.000000000000000000e+00
1.611858860857311129e+02,1.594282368049820207e+02,1.069931724769616466e+01,0.000000000000000000e+00
1.621695758434891843e+02,1.600605403930444481e+02,1.145286732037980570e+01,0.000000000000000000e+00
1.631532656012472842e+02,1.606686170564557870e+02,1.222609969873233382e+01,0.000000000000000000e+00
1.641369553590053840e+02,1.612518545135604029e+02,1.301823580329285690e+01,0.000000000000000000e+00
1.651206451167634839e+02,1.618096654936779260e+02,1.382847802015058036e+01,0.000000000000000000e+00
1.661043348745215553e+02,1.623414883284349344e+02,1.465601050407442685e+01,0.000000000000000000e+00
1.670880246322796552e+02,1.628467875173176083e+02,1.550000000000000533e+01,0.000000000000000000e+00
1.680717143900377266e+02,1.633250542668750427e+02,1.635959668204683837e+01,0.000000000000000000e+00
1.690554041477958265e+02,1.637758070030314173e+02,1.723393500922100685e+01,0.000000000000000000e+00
1.700390939055538979e+02,1.641985918559900597e+02,1.812213459694152107e+01,0.000000000000000000e+00
1.710227836633119978e+02,1.645929831172420279e+02,1.902330110351301684e+01,0.000000000000000000e+00
1.720064734210700692e+02,1.649585836682182958e+02,1.993652713065197446e+01,0.000000000000000000e+00
1.729901631788281691e+02,1.652950253801547262e+02,2.086089313715993399e+01,0.000000000000000000e+00
1.739738529365862689e+02,1.656019694847663004e+02,2.179546836482347771e+01,0.000000000000000000e+00
1.749575426943443688e+02,1.658791069153581930e+02,2.273931177560891825e+01,0.000000000000000000e+00
1.759412324521024686e+02,1.661261586180297911e+02,2.369147299920775396e+01,0.000000000000000000e+00
1.769249222098605685e+02,1.663428758326581374e+02,2.465099328997909112e+01,0.000000000000000000e+00
1.779086119676186684e+02,1.665290403433784547e+02,2.561690649232515682e+01,0.000000000000000000e+00
1.788923017253767682e+02,1.666844646983089149e+02,2.658824001352816424e+01,0.000000000000000000e+00
1.798759914831348397e+02,1.668089923982988694e+02,2.756401580306865640e+01,0.000000000000000000e+00
1.808596812408929395e+02,1.669024980545102039e+02,2.854325133743956044e+01,0.000000000000000000e+00
1.818433709986510394e+02,1.669648875146732507e+02,2.952496060946399581e+01,0.000000000000000000e+00
1.828270607564091392e+02,1.669960979578901288e+02,3.050815512112095718e+01,0.000000000000000000e+00
1.838107505141672391e+02,1.669960979578901288e+02,3.149184487887904993e+01,0.000000000000000000e+00
1.847944402719253389e+02,1.669648875146732507e+02,3.247503939053601130e+01,0.000000000000000000e+00
1.857781300296834388e+02,1.669024980545102039e+02,3.345674866256044311e+01,0.000000000000000000e+00
1.867618197874415387e+02,1.668089923982988694e+02,3.443598419693134360e+01,0.000000000000000000e+00
1.877455095451996385e+02,1.666844646983089149e+02,3.541175998647184286e+01,0.000000000000000000e+00
1.887291993029577384e+02,1.665290403433784547e+02,3.638309350767484318e+01,0.000000000000000000e+00
1.897128890607158382e+02,1.663428758326581374e+02,3.734900671002091599e+01,0.000000000000000000e+00
1.906965788184739381e+02,1.661261586180297911e+02,3.830852700079224604e+01,0.000000000000000000e+00
1.916802685762320380e+02,1.658791069153581930e+02,3.926068822439108885e+01,0.000000000000000000e+00
1.926639583339901094e+02,1.656019694847663004e+02,4.020453163517652229e+01,0.000000000000000000e+00
1.936476480917482093e+02,1.652950253801547262e+02,4.113910686284007312e+01,0.000000000000000000e+00
1.946313378495063091e+02,1.649585836682182958e+02,4.206347286934802554e+01,0.000000000000000000e+00
1.956150276072644090e+02,1.645929831172420279e+02,4.297669889648699382e+01,0.000000000000000000e+00
1.965987173650225088e+02,1.641985918559900597e+02,4.387786540305847893e+01,0.000000000000000000e+00
1.975824071227806087e+02,1.637758070030314173e+02,4.476606499077900025e+01,0.000000000000000000e+00
1.985660968805387085e+02,1.633250542668750427e+02,4.564040331795315808e+01,0.000000000000000000e+00
1.995497866382968084e+02,1.628467875173175798e+02,4.650000000000000711e+01,0.000000000000000000e+00
2.005334763960549083e+02,1.623414883284349344e+02,4.734398949592558381e+01,0.000000000000000000e+00
2.015171661538129797e+02,1.618096654936779260e+02,4.817152197984941608e+01,0.000000000000000000e+00
2.025008559115710796e+02,1.612518545135604029e+02,4.898176419670714665e+01,0.000000000000000000e+00
2.034845456693291794e+02,1.606686170564557870e+02,4.977390030126767329e+01,0.000000000000000000e+00
2.044682354270872793e+02,1.600605403930444481e+02,5.054713267962020495e+01,0.000000000000000000e+00
2.054519251848453507e+02,1.594282368049820207e+02,5.130068275230384245e+01,0.000000000000000000e+00
2.064356149426034506e+02,1.587723429683835263e+02,5.203379175827109293e+01,0.000000000000000000e+00
2.074193047003615504e+02,1.580935193127447462e+02,5.274572151889596228e+01,0.000000000000000000e+00
2.084029944581196503e+02,1.573924493559454731e+02,5.343575518125717849e+01,0.000000000000000000e+00
2.093866842158777501e+02,1.566698390160050280e+02,5.410319793994839443e+01,0.000000000000000000e+00
2.103703739736358216e+02,1.559264159002827341e+02,5.474737773668831409e+01,0.000000000000000000e+00
2.113540637313939499e+02,1.551629285728387515e+02,5.536764593702641690e+01,0.000000000000000000e+00
2.123377534891520213e+02,1.543801458006938674e+02,5.596337798346282000e+01,0.000000000000000000e+00
2.133214432469101212e+02,1.535788557797458793e+02,5.653397402432482011e+01,0.000000000000000000e+00
2.143051330046682210e+02,1.527598653411235148e+02,5.707885951776661670e+01,0.000000000000000000e+00
