s,dxds,dyds,dzds
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+00,1.000000000000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.121212121212121104e+00,9.999999999999997780e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.494949494949494806e+00,1.000000000000000444e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.868686868686868507e+00,1.000000000000000444e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.242424242424242209e+00,9.999999999999995559e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.616161616161615910e+00,9.999999999999995559e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.098989898989898961e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.236363636363636331e+01,1.000000000000000888e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.373737373737373701e+01,1.000000000000000888e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.511111111111111072e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.648484848484848442e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.785858585858585812e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.923232323232323182e+01,9.999999999999991118e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.060606060606060552e+01,9.999999999999991118e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.197979797979797922e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.335353535353535293e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.472727272727272663e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.610101010101010033e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.747474747474747403e+01,1.000000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.884848484848484773e+01,1.000000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.022222222222222143e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.159595959595959513e+01,9.999999999999982236e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.296969696969696884e+01,9.999999999999982236e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.434343434343434609e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.571717171717172334e+01,9.999999999999964473e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.709090909090909349e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
